CodigoPROD,Descripcion,Produccion,Usuario,Fecha,PrecioUnidad
0003808,"QUALITY FRANCES",45,"JOSE ANTONIO","2025-06-04 14:21:17",0.60
0007039,"QUALITY ALEMANA",113,"JOSE ANTONIO","2025-06-04 14:21:17",0.55
0007175,"QUALITY QUESADILLA",39,"JOSE ANTONIO","2025-06-04 14:21:17",0.55
0007180,"QUALITY GUARACHA",94,"JOSE ANTONIO","2025-06-04 14:21:17",0.60
0007407,"QUALITY MUFFIN VAINILLA CHISPAS",82,"JOSE ANTONIO","2025-06-04 14:21:17",0.55
0007419,"QUALITY MUFFIN CHOCOLATE CHISPAS",32,"JOSE ANTONIO","2025-06-04 14:21:17",0.55
