CodigoPROD,Descripcion,CantidadEnviada,ExistenciaAnterior,ExistenciaNueva,TiendaUUID,Usuario,Fecha
0006896,"QUALITY CONCHA GRD",20,11.00,31,N1S006,"JOSE ANTONIO","2025-06-08 10:01:08"
0003808,"QUALITY FRANCES",6,16.00,22,N1S006,"JOSE ANTONIO","2025-06-08 10:01:08"
0007419,"QUALITY MUFFIN CHOCOLATE CHISPAS",8,5.00,13,N1S006,"JOSE ANTONIO","2025-06-08 10:01:08"
0007183,"QUALITY NEGRITAS",5,12.00,17,N1S006,"JOSE ANTONIO","2025-06-08 10:01:08"
0007241,"QUALITY PASTELITO",8,11.00,19,N1S006,"JOSE ANTONIO","2025-06-08 10:01:08"
