CodigoPROD,Descripcion,CantidadEnviada,ExistenciaAnterior,ExistenciaNueva,TiendaUUID,Usuario,Fecha
0007039,"QUALITY ALEMANA",8,4.00,12,N1S008,"JOSE ANTONIO","2025-06-02 10:38:19"
0006896,"QUALITY CONCHA GRD",5,-12.00,-7,N1S008,"JOSE ANTONIO","2025-06-02 10:38:19"
0003808,"QUALITY FRANCES",2,1.00,3,N1S008,"JOSE ANTONIO","2025-06-02 10:38:19"
0007180,"QUALITY GUARACHA",1,7.00,8,N1S008,"JOSE ANTONIO","2025-06-02 10:38:19"
0007241,"QUALITY PASTELITO",1,4.00,5,N1S008,"JOSE ANTONIO","2025-06-02 10:38:19"
0007175,"QUALITY QUESADILLA",6,-2.00,4,N1S008,"JOSE ANTONIO","2025-06-02 10:38:19"
