CodigoPROD,Descripcion,CantidadEnviada,ExistenciaAnterior,ExistenciaNueva,TiendaUUID,Usuario,Fecha
0003808,"QUALITY FRANCES",4,0.00,4,N1S007,"JOSE ANTONIO","2025-05-28 16:35:51"
0007180,"QUALITY GUARACHA",10,8.00,18,N1S007,"JOSE ANTONIO","2025-05-28 16:35:51"
0007183,"QUALITY NEGRITAS",10,8.00,18,N1S007,"JOSE ANTONIO","2025-05-28 16:35:51"
0007241,"QUALITY PASTELITO",10,-36.00,-26,N1S007,"JOSE ANTONIO","2025-05-28 16:35:51"
0007179,"QUALITY SALPORA ALMIDON",8,-95.00,-87,N1S007,"JOSE ANTONIO","2025-05-28 16:35:51"
