CodigoPROD,Descripcion,CantidadEnviada,ExistenciaAnterior,ExistenciaNueva,TiendaUUID,Usuario,Fecha
0007039,"QUALITY ALEMANA",25,18.00,43,N1S004,"JOSE ANTONIO","2025-06-04 16:04:31"
0003808,"QUALITY FRANCES",8,5.00,13,N1S004,"JOSE ANTONIO","2025-06-04 16:04:31"
0007180,"QUALITY GUARACHA",20,4.00,24,N1S004,"JOSE ANTONIO","2025-06-04 16:04:31"
0007419,"QUALITY MUFFIN CHOCOLATE CHISPAS",5,0.00,5,N1S004,"JOSE ANTONIO","2025-06-04 16:04:31"
0007407,"QUALITY MUFFIN VAINILLA CHISPAS",10,0.00,10,N1S004,"JOSE ANTONIO","2025-06-04 16:04:31"
0007175,"QUALITY QUESADILLA",10,16.00,26,N1S004,"JOSE ANTONIO","2025-06-04 16:04:31"
