CodigoPROD,Descripcion,CantidadEnviada,ExistenciaAnterior,ExistenciaNueva,TiendaUUID,Usuario,Fecha
0007039,"QUALITY ALEMANA",20,15.00,35,N1S003,"JOSE ANTONIO","2025-06-04 16:56:10"
0003808,"QUALITY FRANCES",5,5.00,10,N1S003,"JOSE ANTONIO","2025-06-04 16:56:10"
0007180,"QUALITY GUARACHA",12,12.00,24,N1S003,"JOSE ANTONIO","2025-06-04 16:56:10"
0007419,"QUALITY MUFFIN CHOCOLATE CHISPAS",3,0.00,3,N1S003,"JOSE ANTONIO","2025-06-04 16:56:10"
0007407,"QUALITY MUFFIN VAINILLA CHISPAS",15,0.00,15,N1S003,"JOSE ANTONIO","2025-06-04 16:56:10"
