CodigoPROD,Descripcion,CantidadEnviada,ExistenciaAnterior,ExistenciaNueva,TiendaUUID,Usuario,Fecha
0007039,"QUALITY ALEMANA",9,12.00,21,N1S008,"JOSE ANTONIO","2025-06-09 15:14:49"
0006896,"QUALITY CONCHA GRD",20,-13.00,7,N1S008,"JOSE ANTONIO","2025-06-09 15:14:49"
0003808,"QUALITY FRANCES",2,3.00,5,N1S008,"JOSE ANTONIO","2025-06-09 15:14:49"
0007419,"QUALITY MUFFIN CHOCOLATE CHISPAS",5,0.00,5,N1S008,"JOSE ANTONIO","2025-06-09 15:14:49"
0007183,"QUALITY NEGRITAS",5,-32.00,-27,N1S008,"JOSE ANTONIO","2025-06-09 15:14:49"
0007241,"QUALITY PASTELITO",4,5.00,9,N1S008,"JOSE ANTONIO","2025-06-09 15:14:49"
