CodigoPROD,Descripcion,CantidadEnviada,ExistenciaAnterior,ExistenciaNueva,TiendaUUID,Usuario,Fecha
0007039,"QUALITY ALEMANA",20,8.00,28,N1S006,"JOSE ANTONIO","2025-06-04 15:44:50"
0003808,"QUALITY FRANCES",8,8.00,16,N1S006,"JOSE ANTONIO","2025-06-04 15:44:50"
0007180,"QUALITY GUARACHA",12,11.00,23,N1S006,"JOSE ANTONIO","2025-06-04 15:44:50"
0007419,"QUALITY MUFFIN CHOCOLATE CHISPAS",5,0.00,5,N1S006,"JOSE ANTONIO","2025-06-04 15:44:50"
0007407,"QUALITY MUFFIN VAINILLA CHISPAS",10,0.00,10,N1S006,"JOSE ANTONIO","2025-06-04 15:44:50"
0007175,"QUALITY QUESADILLA",15,8.00,23,N1S006,"JOSE ANTONIO","2025-06-04 15:44:50"
