CodigoPROD,Descripcion,CantidadEnviada,ExistenciaAnterior,ExistenciaNueva,TiendaUUID,Usuario,Fecha
0006896,"QUALITY CONCHA GRD",30,25.00,55,N1S001,"JOSE ANTONIO","2025-06-08 09:26:22"
0003808,"QUALITY FRANCES",8,16.00,24,N1S001,"JOSE ANTONIO","2025-06-08 09:26:22"
0007419,"QUALITY MUFFIN CHOCOLATE CHISPAS",10,4.00,14,N1S001,"JOSE ANTONIO","2025-06-08 09:26:22"
0007183,"QUALITY NEGRITAS",15,4.00,19,N1S001,"JOSE ANTONIO","2025-06-08 09:26:22"
0007241,"QUALITY PASTELITO",15,8.00,23,N1S001,"JOSE ANTONIO","2025-06-08 09:26:22"
