CodigoPROD,Descripcion,CantidadEnviada,ExistenciaAnterior,ExistenciaNueva,TiendaUUID,Usuario,Fecha
0006896,"QUALITY CONCHA GRD",40,23.00,63,N1S003,"JOSE ANTONIO","2025-06-08 10:23:03"
0003808,"QUALITY FRANCES",6,10.00,16,N1S003,"JOSE ANTONIO","2025-06-08 10:23:03"
0007419,"QUALITY MUFFIN CHOCOLATE CHISPAS",8,3.00,11,N1S003,"JOSE ANTONIO","2025-06-08 10:23:03"
0007183,"QUALITY NEGRITAS",18,5.00,23,N1S003,"JOSE ANTONIO","2025-06-08 10:23:03"
0007241,"QUALITY PASTELITO",8,6.00,14,N1S003,"JOSE ANTONIO","2025-06-08 10:23:03"
