CodigoPROD,Descripcion,CantidadEnviada,ExistenciaAnterior,ExistenciaNueva,TiendaUUID,Usuario,Fecha
0003808,"QUALITY FRANCES",6,0.00,6,N1S006,"JOSE ANTONIO","2025-05-28 16:13:32"
0007180,"QUALITY GUARACHA",14,-75.00,-61,N1S006,"JOSE ANTONIO","2025-05-28 16:13:32"
0007183,"QUALITY NEGRITAS",14,-41.00,-27,N1S006,"JOSE ANTONIO","2025-05-28 16:13:32"
0007241,"QUALITY PASTELITO",14,-2.00,12,N1S006,"JOSE ANTONIO","2025-05-28 16:13:32"
0007179,"QUALITY SALPORA ALMIDON",12,2.00,14,N1S006,"JOSE ANTONIO","2025-05-28 16:13:32"
