CodigoPROD,Descripcion,CantidadEnviada,ExistenciaAnterior,ExistenciaNueva,TiendaUUID,Usuario,Fecha
0007039,"QUALITY ALEMANA",20,15.00,35,N1S001,"JOSE ANTONIO","2025-06-04 17:22:12"
0003808,"QUALITY FRANCES",7,9.00,16,N1S001,"JOSE ANTONIO","2025-06-04 17:22:12"
0007180,"QUALITY GUARACHA",20,4.00,24,N1S001,"JOSE ANTONIO","2025-06-04 17:22:12"
0007419,"QUALITY MUFFIN CHOCOLATE CHISPAS",4,0.00,4,N1S001,"JOSE ANTONIO","2025-06-04 17:22:12"
0007407,"QUALITY MUFFIN VAINILLA CHISPAS",15,0.00,15,N1S001,"JOSE ANTONIO","2025-06-04 17:22:12"
0007175,"QUALITY QUESADILLA",10,7.00,17,N1S001,"JOSE ANTONIO","2025-06-04 17:22:12"
