CodigoPROD,Descripcion,CantidadEnviada,ExistenciaAnterior,ExistenciaNueva,TiendaUUID,Usuario,Fecha
0006896,"QUALITY CONCHA GRD",20,-230.00,-210,N1S009,"JOSE ANTONIO","2025-06-08 11:13:45"
0003808,"QUALITY FRANCES",6,14.00,20,N1S009,"JOSE ANTONIO","2025-06-08 11:13:45"
0007419,"QUALITY MUFFIN CHOCOLATE CHISPAS",10,-1.00,9,N1S009,"JOSE ANTONIO","2025-06-08 11:13:45"
0007183,"QUALITY NEGRITAS",20,17.00,37,N1S009,"JOSE ANTONIO","2025-06-08 11:13:45"
0007241,"QUALITY PASTELITO",10,7.00,17,N1S009,"JOSE ANTONIO","2025-06-08 11:13:45"
