CodigoPROD,Descripcion,CantidadEnviada,ExistenciaAnterior,ExistenciaNueva,TiendaUUID,Usuario,Fecha
0007039,"QUALITY ALEMANA",5,9.00,14,N1S005,"JOSE ANTONIO","2025-06-04 15:22:25"
0003808,"QUALITY FRANCES",5,7.00,12,N1S005,"JOSE ANTONIO","2025-06-04 15:22:25"
0007180,"QUALITY GUARACHA",12,-2.00,10,N1S005,"JOSE ANTONIO","2025-06-04 15:22:25"
0007419,"QUALITY MUFFIN CHOCOLATE CHISPAS",5,0.00,5,N1S005,"JOSE ANTONIO","2025-06-04 15:22:25"
0007407,"QUALITY MUFFIN VAINILLA CHISPAS",8,0.00,8,N1S005,"JOSE ANTONIO","2025-06-04 15:22:25"
0007175,"QUALITY QUESADILLA",4,-30.00,-26,N1S005,"JOSE ANTONIO","2025-06-04 15:22:25"
