CodigoPROD,Descripcion,CantidadEnviada,ExistenciaAnterior,ExistenciaNueva,TiendaUUID,Usuario,Fecha
0006896,"QUALITY CONCHA GRD",30,20.00,50,N1S004,"JOSE ANTONIO","2025-06-08 09:43:35"
0003808,"QUALITY FRANCES",6,13.00,19,N1S004,"JOSE ANTONIO","2025-06-08 09:43:35"
0007419,"QUALITY MUFFIN CHOCOLATE CHISPAS",8,5.00,13,N1S004,"JOSE ANTONIO","2025-06-08 09:43:35"
0007183,"QUALITY NEGRITAS",15,7.00,22,N1S004,"JOSE ANTONIO","2025-06-08 09:43:35"
0007241,"QUALITY PASTELITO",8,9.00,17,N1S004,"JOSE ANTONIO","2025-06-08 09:43:35"
